Name of publication,Delivery,Address,State,Audience: City/region,Audience,Black-owned?,Contact,Contact type,URL
Middle Georgia Informer,"""Newspaper, weekly""","905 Main St, Macon, GA 31217",Georgia,Macon,African-American,Y,"Cornelia Walker, gainformer@yahoo.com",Publisher,http://www.gainformer.com/index.html
Milwaukee Courier,"""Newspaper, weekly""","2003 W Capitol Dr, Milwaukee, WI 53206",Wisconsin,Milwaukee,African-American,Y,(414) 449-4860,,https://milwaukeecourieronline.com/
Minnesota Spokesman-Recorder,"""Newspaper, weekly""","3744 4th Ave S, Minneapolis, MN 55409",Minnesota,Minneapolis,African-American,Y,"Tracey Williams-Dillard, twilliams@spokesman-recorder.com",CEO and Publisher,https://spokesman-recorder.com/
Minority Reporter,"""Newspaper, weekly""","2269 Lyell Avenue, Rochester, NY 14606",New York,Rochester,African-American,Y,,,http://minorityreporter.net/
Mississippi Free Press,Online,"125 S. Congress Street #1324A Jackson, MS 39201",Mississippi,Mississippi,All-inclusive,Nonprofit,"Kimberly Griffin, kimberly@mississippifreepress.org",Founding publisher,mississippifreepress.org
Mississippi Link,"""Newspaper, weekly""","2659 Livingston Rd, Jackson, MS 39213",Mississippi,Jackson,African-American,Y,"Jackie Hampton, admin@themississippilink.com",Publisher,https://themississippilink.com/
Monroe Free Press,"""Newspaper, weekly""","216 Collier Ave, Monroe, LA 71201",Louisiana,Monroe,African-American,Y,"Roosevelt Wright, freepress1969@yahoo.com",Owner,https://www.monroefreepress.net/
Murfreesboro Vision,"""Newspaper, weekly""","PO Box 60487, Nashville, TN 37206",Tennessee,Murfressboro,African-American,Y,,,https://www.pridepublishinggroup.com/pride/
Muslim Journal,"""Newspaper, weekly""","227 E. 51st Street, Chicago, IL 60615",Illinois,Chicago,Black Muslim,Y,feedback@muslimjournal.net,General inbox,https://muslimjournal.net/
N'Digo,"""Newspaper, weekly""","329 West 18th Street Suite 613. Chicago, IL 60616",Illinois,Cook County,African-American,Y,"Helene Hartman, hhartman@ndigo.com",Founder,https://ndigo.com/
Nashville Pride,"""Newspaper, weekly""","4065 Gallatin Pike. Nashville, TN 37216",Tennessee,Nashville,African-American,Y,,,https://www.pridepublishinggroup.com/pride/
NAZAR,Online,"4410 Paul St Philadelphia, PA 19124 (approximate)",Pennsylvania,Nationwide,African-American,Y,"Vanessa Taylor, inquiries.taylor@gmail.com",Founder,nazar.substack.com 
New National Baptist Voice,"""Newspaper, quarterly""","30 W Pershing Rd #112, Kansas City, MO 64108 (approximate)",Missouri,Kansas City,African-American,Y,,,
New Orleans Tribune,"""Newspaper, monthly""","2317 Esplanade Avenue, New Orleans, LA 70119",Louisiana,New Orleans,African-American,Y,"Dwight McKenna, dwightmckenna@mckennapublishing.com",Publisher,https://theneworleanstribune.com/
New Pittsburgh Courier,"""Newspaper, weekly""","315 E Carson St, Pittsburgh, PA 15219",Pennsylvania,Pittsburgh,African-American,Y,,,https://newpittsburghcourier.com/
New York Amsterdam News,"""Newspaper, weekly""","2340 Frederick Douglass Blvd, New York, NY 10027",New York,NYC,African-American,Y,,,http://amsterdamnews.com/
New York Beacon,"""Newspaper, weekly""","600 3rd Ave, New York, NY 10016",New York,NYC,African-American,Y,,,https://newyorkbeacon.com/
NOISE,Online,"2422 Lake St, Omaha, NE 68111",Nebraska,North Omaha,General,Nonprofit,"make@noiseomaha.com, (402) 807-5076",General inbox,https://www.noiseomaha.com/
Nomadic Hustle,Podcast,"PO Box 18463, Seattle, WA 98118",Washington,Statewide,Somali,Y,,,https://www.youtube.com/c/NomadicHustle/featured
North Dallas Gazette,"""Newspaper, weekly""","P. O. Box 763866, Dallas, TX 75376-3866",Texas,Dallas,African-American,Y,,,https://northdallasgazette.com/
North Lawndale News,"""Newspaper, weekly""","5650 West Madison Street, Chicago, IL 60644",Illinois,Chicago,African-American,Y,"Isaac Lewis Jr., isaacl@nlcn.org",Executive director,nlcn.org
Northend Agents,"""Newspaper, weekly"",""Online, daily""","150 Trumbull St Fl 4, Hartford, CT 06103 ...",Connecticut,Hartford,African-American,Y,submissions@northendagents.com,General inbox,https://www.northendagents.com/
NYIHA Media,Online,"700 Columbus Ave # 20744, New York, NY 10025",New York,New York,Diaspora,Y,"Steeve Coupeau, (646) 301-0146",Founder,nyiha.com 
One Media Central Valley,Online aggregator,"PO Box 1298. Winton, CA. 95388",California,Central Valley,African-American,Y,Julia Dudley Najieb,CEO,https://www.onmenews.com/
Orlando Advocate,"""Newspaper, weekly""","30 Coburn Ave Orlando, FL 32805",Florida,Orlando,African-American,Y,webmaster@orlandoadvocate.com,General inbox,https://orlandoadvocate.com/
Our Time Press,"""Newspaper, weekly""","358 Classon Ave, Brooklyn, NY 11238",New York,NYC,African-American,Y,,,https://www.ourtimepress.com/
Our Times Newspaper,"""Newspaper, biweekly""","605 S Evans Ave, Evansville, IN 47713",Indiana,Evansville,African-American,Y,"Gene Kendrick, kendrick47713@gmail.com",Sales manager,https://www.ourtimesnewspaper.com/Media/Index.html
Our Weekly,"""Newspaper, weekly""","8732 S. Western Avenue Los Angeles, CA 90047",California,Los Angeles,African-American,Y,"Natalie Cole, info@ourweekly.com",Publisher and CEO,http://ourweekly.com/
PACE News,"""Newspaper, weekly""","3707 West 54th Street. Los Angeles, CA 90043",California,Los Angeles,African-American,Y,"Gloria Zuurveen, gloriaz@pacenews.net",Publisher     ,https://www.pacenewsonline.com/
Pasadena/San Gabriel Valley Journal,"""Newspaper, weekly""","1541 N. Lake Avenue Pasadena, California 91104",California,Pasadena,African-American,Y,"Joe C. Hopkins, journal@pasadenajournal.com",Publisher,https://www.pasadenajournal.com/
Philadelphia Sunday Sun,"""Newspaper, weekly""","6661-63 Germantown Ave, Philadelphia, PA 19119",Pennsylvania,Philadelphia,African-American,Y,,,https://www.philasun.com/
PhxSoul.com,"""Online, daily""","4415 N Maryvale Pkwy, Phoenix, AZ 85031 (approximate)",Arizona,Phoenix,African-American,Y,"Tremaine Jasper, info@phxsoul.com",Owner,PhxSoul.com
Plugged,Online,"1430 Concordia Ave, St Paul, MN 55104 (approximate)",Minnesota,Nationwide,African-American,Y,"Jeffrey Bissoy-Mattis, @J_bissoy",Co-founder,https://thepluggedapp.com/
Ponchatoula Drum,"""Newspaper, monthly""","17253 Lavigne Rd, Ponchatoula, LA 70454-2485",Louisiana,Ponchatoula,African-American,Y,news@thedruminfo.com,General inbox,http://www.thedrumnewspaper.info/
Portland Observer,"""Newspaper, weekly""","4747 NE Martin Luther King Jr Blvd, Portland, OR 97211",Oregon,Portland,African-American,Y,,,http://portlandobserver.com/
Post News Group,"""Newspaper, weekly""","360 14th St, Oakland, CA 94612",California,Oakland/Bay Area,African-American,Y,"Paul Cobb, social@postnewsgroup.com",Publisher,https://www.postnewsgroup.com/
Precinct Reporter,"""Newspaper, weekly""","357 W 2nd St, San Bernardino, CA 92401",California,Long Beach/Southern California,African-American,Y,"Brian Townsend, news@precinctreporter.com",Publisher and editor,https://www.precinctreporter.com/
Pride Magazine,"""Magazine, monthly""","8401 University Executive Park Drive, Ste. 122, Charlotte, NC 28262",North Carolina,Charlotte,African-American,Y,"Dee Dixon, info@pridemagazine.net",Publisher,http://www.pridemagazineonline.com/
Public Intellectuals,"""Online, daily""","421 8th Ave, New York, NY 10001 (approximate)",New York,Nationwide,African-American/working class,Y,"Teka Lo, teex@publicintellectuals.org",Editor,http://publicintellectuals.org/
Pulsebeat Media,"Online,TV program","Detroit, MI",Michigan,Detroit,General,Y,Greg Dunmore,Executive Producer,https://pulsebeatmedia.com
Pure News USA,"""Newspaper, monthly""","1701 S College St, Springfield, IL 62704",Illinois,Springfield,African-American,Y,"James Anderson, tellit@purenews.com",Advertising director,http://www.purenews.com/
PushBlack,"""Online, daily""","50 Massachusetts Ave NE, Washington, DC 20002 (approximate)","Washington, D.C.",Nationwide,African-American,Nonprofit,Jay Andrew,Editor,https://pushblack.us
Qcitymetro,"""Online, daily""","6241 South Blvd, Charlotte, NC 28217",North Carolina,Charlotte,African-American,Y,"Katrina Louis, katrinalouis@qcitymetro.com",Managing editor,qcitymetro.com
Radio One (KBFB/KSOC),Radio,"8235 Douglas Ave, Dallas, TX",Texas,Dallas,African-American,Y,,,
Richmond Free Press,"""Newspaper, weekly""","422 E Franklin St # 2, Richmond, VA 23219",Virginia,Richmond,African-American,Y,,,http://richmondfreepress.com/
Richmond Pulse,"""Newspaper, monthly""","P.O. Box 70977, Point Richmond, California, 94807",California,Richmond,Multicultural,N ,"Malcolm Marshall, info@richmondpulse.org",Founder,https://richmondpulse.org/
Runta (The Truth),"Online,""Magazine, monthly""","Po Box 18463. Seattle, WA 98118-0463",Washington,Statewide,Somali,Y,,,http://runtanews.com/
Rwebel Media,"Magazine,Online,Podcast","Chicago, IL",Illinois,Nationwide,African-American,Y,"Javanna Plummer, javannawplummer@gmail.com, (773) 217-0079",Founder,https://www.rwebelmedia.com/
Sacramento Cultural Hub,"""Online, daily"",""Magazine, quarterly""","2572 21st St, Sacramento, CA 95818",California,Sacramento,African-American,Y,"Pleshette Robertson, contact@sacculturalhub.com",CEO,https://www.sacculturalhub.com/
Sacramento Observer,"""Newspaper, weekly""","1825 Del Paso Blvd, Sacramento, CA 95815",California,Sacramento,African-American,Y,"Larry Lee, editor@sacobserver.com",Editor,http://sacobserver.com/
Sahan Journal,"""Online, daily""","370 Wabasha St. N. Suite 500, Saint Paul, MN 55102",Minnesota,State of Minnesota,Immigrant,Nonprofit,Mukhtar M. Ibrahim: editor@sahanjournal.com,Editor,https://sahanjournal.com/
Salaxley TV,"""Online, video""","15245 International Blvd Seattle, WA 98188",Washington,Statewide,Somali,Y,salaxleytv@gmail.com,,https://www.youtube.com/channel/UCbd3ooNLzxDqu-1LOZwtvIA
San Diego Monitor,"""Magazine, weekly""","5106 Federal Blvd. Ste. 207, SAN DIEGO, CA 92114",California,San Diego,African-American,Y,sdmonitor@outlook.com,General inbox,https://sdmonitornews.com/
San Diego Voice and Viewpoint,"""Newspaper, weekly""","3619 College Ave, San Diego, CA 92115",California,San Diego,African-American,Y,"John E. Warren, news@sdvoice.info",Editor,https://sdvoice.info/
San Francisco Bay View,"""Newspaper, monthly""","4917 3rd Street, San Francisco, CA",California,San Francisco/Bay Area,African-American,Y,editor@sfbayview.com,General inbox,https://sfbayview.com/
San Francisco Sun Reporter,"""Newspaper, weekly""","1791 Bancroft Ave, San Francisco, CA 94124",California,San Francisco/Bay Area,African-American,Y,"Gail Berkley, sunmedia97@aol.com",Editor,http://sunreportermedia.com/
Sapelo Square,Online,N/A,Nationwide,Nationwide,Black Muslims,Nonprofit,info@sapelosquare.com,General inbox,https://sapelosquare.com/
Savannah Herald,"""Newspaper, weekly""","2135 Rowland Ave b, Savannah, GA 31404",Georgia,Savannah,African-American,Y,"Kenny Adams, news@savannahherald.net",Managing editor,https://savannahherald.net/
Scalawag,"""Online, daily""","PO Box 129, Durham, NC 27702",North Carolina,Regional,African-American,Nonprofit,"Cierra Hinton, team@scalawagmagazine.org",Executive Director,https://scalawagmagazine.org/
Scoop USA,"""Newspaper, weekly""","1354 West Girard Avenue, 2nd Floor Rear Philadelphia, PA 19122",Pennsylvania,Philadelphia,African-American,Y,,,https://scoopusamedia.com/
Seaside Post News-Sentinel,"""Newspaper, weekly""","PO Box 670, Seaside, CA 93955",California,Seaside,African-American,Y,"Alade Djehuti-Mes, seasidepostnews@gmail.com",Publisher,seasidepost-california.com
Seattle Medium,"""Newspaper, weekly""","2600 S Jackson St, Seattle, WA 98144",Washington,Seattle,African-American,Y,,,https://seattlemedium.com/
Shaw's Broadcasting Co. (WBOL/WOJG),Radio,"123 W Market St, Bolivar, TN 38008",Tennessee,Bolivar,African-American,Y,,,http://www.wojg.com/
Shoresides,Podcast,"PO Box 448, Wilmington, NC 28402",North Carolina,Wilmington,African-American,Nonprofit,info@shoresides.org,General inbox,shoresides.org
Shreveport Sun,"""Newspaper, weekly""","2224 Jewella Ave, Shreveport, LA 71109",Louisiana,Shreveport,African-American,Y,"Sonya Collins Landry, sunweekly@aol.com",Editor,https://www.sunweeklynews.com/
SomaliVoices of North America (SomaliVoices),Social Media/Facebook,"7724 35th Ave NE, Seattle, WA 98115",Washington,Nationwide,Somali,Y,somalivoices@gmail.com,,https://www.facebook.com/somalivoices
South Carolina Black News,"""Newspaper, weekly""","1310 Harden St, Columbia, SC, 29204-1820",South Carolina,Columbia,African-American,Y,,,http://www.scblackmediagroup.com/
South Florida Times,"""Newspaper, weekly""",3020 North East 32 AvenueSuite 200 Fort Lauderdale Florida 33308,Florida,Miami/South Florida,African-American,Y,"CB Hanif, CBHanif@SFLTimes.com",Editor,http://www.sfltimes.com/
South Seattle Emerald,Online,"PO Box 28505, Seattle, WA 98118",Washington,South Seattle,BIPOC,Nonprofit,contact@seattleemerald.org,General inbox,https://southseattleemerald.com/
Speakin' Out News,"""Newspaper, weekly""","101 Oakwood Ave NW, Huntsville, AL 35811",Alabama,Huntsville,African-American,Y,"William Smothers, speakinoutnews@gmail.com",Publisher,https://speakinoutweeklynews.net/
St. Louis American,"""Newspaper, weekly""","2315 Pine St, St. Louis, MO 63103",Missouri,St. Louis,African-American,Y,,,https://www.stlamerican.com/
Star of Zion,"""Newspaper, weekly""","PO Box 26770, Charlotte, NC 28221",North Carolina,Charlotte; regional,African-American,Owned by AME Zion Church,"Addie Lisby, starofzioneditor@gmail.com",Editor,https://www.soznews.org/
Street Hype Newspaper,"""Newspaper, twice monthly""","329 Miller Place, Mount Vernon, NY 10550",New York,Greater New York,"African-American, Caribbean",Y,"Patrick Maitland, 
patrick@streethypenewspaper.com, 
914-663-4973 (o) / 718-753-9469 (c)",Publisher/Owner,http://www.streethypenewspaper.com/
SwagHer Magazine,"Magazine,Online","Baton Rouge, LA",Louisiana,,Black Community,Y,Francheska “Fancy” Felder,Founder,https://swagheronline.com
Tacoma True Citizen,"""Newspaper, weekly""","P.O. Box 22047. Seattle, Washington 98122-0047",Washington,Tacoma,African-American,Y,,,https://seattlemedium.com/
Taunt,Online,"900 E Main St Louisville, KY 40206",Kentucky,Louisville,African-American,Y,"Minda Honey, mindahoney@gmail.com",Founder,www.taunt.me
Telegram Newspaper,"""Newspaper, weekly""","3715 W Jefferson Ave, Ecorse, MI 48229",Michigan,South Detroit suburbs,African-American,Y,"Gina Wilson, telegram@telegramnews.net",Publisher,https://www.telegramnews.net/
Tempo News,"""Newspaper, weekly""","3006 Goodrich Ave, Sarasota, FL 34234",Florida,Sarasota and Manatee counties,African-American/the working class,Y,"Johnny Hunter, temponewsrq@gmail.com",Publisher,https://temponewsflorida.com/
Texas Metro News,"""Newspaper, twice monthly""","320 S RL Thornton Freeway Service Rd, Dallas, TX 75203",Texas,State of Texas,African-American,Y,,,https://texasmetronews.com/
The AC Phoenix,"""Newspaper, monthly""","1959 N N Peace Haven Rd #275, Winston-Salem, NC 27106",North Carolina,Winston-Salem,African-American,Y,,,https://www.theacphoenixnews.com/
The Akron Reporter,"""Newspaper, weekly""","P.O. Box 2042; Akron, Ohio 44309",Ohio,Akron,African-American,Y,,,https://www.thereporternewspaperonline.com/
The Albany Southwest Georgian,"""Newspaper, weekly""","407 South Slappey, Boulevard, Albany, GA 31701",Georgia,Albany,African-American,Y,"Gloria Gaines, (229) 436-2165",Editor,http://www.albanysouthwestgeorgian.com/
The Atlanta Inquirer,"""Newspaper, weekly""","947 Martin Luther King Jr Dr NW Atlanta, Georgia 30314",Georgia,Atlanta,African-American,Y,info@atlinqu.com,General inbox,https://atlinq.com/
The Atlanta Voice,"""Newspaper, weekly""","633 Pryor St SW #2789, Atlanta, GA 30312",Georgia,Atlanta,African-American,Y,"Janis Ware, jlware@theatlantavoice.com",Publisher,https://www.theatlantavoice.com/
The Baltimore Times,"""Newspaper, weekly""","2513 N Charles St, Baltimore, MD 21218",Maryland,Baltimore,African-American,Y,btimes@btimes.com,General inbox,http://baltimoretimes-online.com/
The Black Chronicle,"""Newspaper, weekly""","1528 NE 23rd St A, Oklahoma City, OK 73111",Oklahoma,Oklahoma City,African-American,Y,,,https://blackchronicle.com/
The Black Lens,"""Newspaper, monthly""","1312 N. Monroe Street, #148, Spokane, WA 99201",Washington,Spokane,African-American,Y,"Sandy Williams, sandy@blacklensnews.com, (509) 795-1964","Editor, Publisher",http://blacklensnews.com/
The Black Times,"""Online, daily""","305 NW 5th St, Oklahoma City, OK 73102",Oklahoma,Oklahoma City,African-American,Y,"Tyreke Baker, @tyrekebakerTBT",Founder,https://twitter.com/TheBlackTimesOK
The Black Wall Street Times,"""Online, daily""","2920 S 129th E Ave, Tulsa, OK 74146",Oklahoma,Tulsa,African-American,Y,"Nehemiah Frank, nehemiah@bwstimes.com",Publisher,https://theblackwallsttimes.com/
The Buckeye Review,"""Newspaper, monthly""","2344 Coronado Ave, Youngstown, OH 44504",Ohio,Youngstown,African-American,Y,,,https://buckeyereview.org/
The Carolinian,"""Newspaper, weekly""","1504 New Bern Ave, Raleigh, NC 27610",North Carolina,Raleigh,African-American,Y,,,https://caro.news/
The Champion Newspaper,"""Newspaper, weekly""","114 New St # E, Decatur, GA 30030",Georgia,Decatur,African-American,Y,"Carolyn Glenn, cfjglenn@dekalbchamp.com",Publisher,thechampionnewspaper.com
The Charleston Chronicle,"""Newspaper, weekly""","1111 King St, Charleston, SC 29403",South Carolina,Charleston,African-American,Y,,,https://www.charlestonchronicle.net/
The Charlotte Post,"""Newspaper, weekly""","5118 Princess St. Charlotte, NC 28269",North Carolina,Charlotte,African-American,Y,"Gerald Johnson, publisher@thecharlottepost.com",Publisher,http://www.thecharlottepost.com/
The Chocolate Voice,"""Online, daily""","2100 E Speedway Blvd, Tucson, AZ 85719 (approximate)",Arizona,Nationwide,African-American,Y,,,
The Chundria Show,TV,"PO Box 437334, Chicago, IL 60643",Illinois,Nationwide,General,Y,"Chundria Brownlow, info@thechundriashow.com",Host/Producer,https://www.thechundriashow.com/
The Cincinnati Herald,"""Newspaper, weekly""","3440 Burnet Ave Cincinnati, OH 45229-2843",Ohio,Cincinnati,African-American,Y,,,https://thecincinnatiherald.com/
The Cleveland Observer,"""Newspaper, monthly"",Online","11459 Euclid Ave#302, Cleveland, Ohio 44103",Ohio,Cleveland,African-American,Y,"Ron Calhoun, theclevelandobserver@gmail.com, (216) 236-8081",Publisher,https://www.theclevelandobserver.com/
The Columbus Post,"""Newspaper, weekly""","770 E Main St, Columbus, OH 43205",Ohio,Columbus,African-American,Y,,,http://columbuspost.com/
The Columbus Times,"""Newspaper, weekly""","2230 Buena Vista Rd, Columbus, GA 31906",Georgia,Columbus,African-American,Y,"Petra Ophelia Gertjegerdes, columbustimes706@gmail.com",Publisher,http://www.columbustimes.com/
The Communicator News,"""Newspaper, weekly""","90 W Campus View Blvd Columbus, OH 43235",Ohio,"Columbus, Cincinnati, Dayton, Cleveland",African-American,Y,,,http://communicatornews.homestead.com/
The Community Press,"""Newspaper, monthly""","3510 Veronica Shoemaker Plaza, Suite 3, Fort Myers, FL 33916",Florida,Fort Myers,African-American,Y,"James Middlebrooks, jamesmiddlebrooks08@gmail.com",Publisher,http://thecommunitypressfla.org/index.html
The Community Voice,"""Newspaper, biweekly""","2918 E Douglas Ave, Wichita, KS 67214",Kansas,Wichita,African-American,Y,"Bonita Gooch, press@tcvpub.com",Editor,https://www.thecommunityvoice.com/
The Dallas Weekly,"""Newspaper, weekly""","3101 Martin Luther King Jr Blvd. Dallas, TX 75215",Texas,Dallas,African-American,Y,,,https://www.dallasweekly.com/
The Drinking Gourd,Online,"4410 Paul St Philadelphia, PA 19124 (approximate)",Pennsylvania,Nationwide,Black Muslim,Y,"Vanessa Taylor, inquiries.taylor@gmail.com",Founder,https://medium.com/the-drinking-gourd
The East Tennessee Enlightener,"""Online, daily""","P.O. Box 14315, Knoxville, TN 37914",Tennessee,Knoxville/East TN counties,African-American,Y,,,https://etenlightener.com/
The Fayetteville Press,"""Newspaper, biweekly""","3635 Sycamore Dairy Rd # C, Fayetteville, NC 28303",North Carolina,Fayetteville,African-American,Y,,,http://www.fayettevillepress.com/
The Final Call,"""Newspaper, weekly""","734 W 79th St, Chicago, IL 60620",Illinois,Chicago/Midwest,Black Muslim,Y,"Naba'a B. Muhammad, fcnprod@aol.com",Editor in chief,https://new.finalcall.com/
The Florida Star/The Georgia Star,"""Newspaper, weekly""","P.O. Box 40629. Jacksonville, FL 32203",Florida,Jacksonville/NE Florida/Georgia line,African-American,Y,"Clara McLaughlin, info@thefloridastar.com",Publisher,https://www.thefloridastar.com/
The Florida Sun-Review,"""Newspaper, weekly""","2700 Catalina Dr. Orlando, FL 32805",Florida,"Orlando, central Florida",African-American,Y,"James Madison, sunreview@aol.com",Publisher,http://www.floridasunreview.com/
The Good Works Show,Podcast,"Atlanta, GA",Georgia,Atlanta,General,Nonprofit,goodworks@ging.org,General inbox,https://goodwillng.org/news-room/good-works-radio-show/
The Haitian Times,"""Online, daily""","PO Box 21628 · Brooklyn, NY 11202",New York,NYC,Haitian,Y,,,https://haitiantimes.com/
The Informant,Status unknown,N/A,Virginia,Buckingham County,African-American,Y,,,
The Informed Village,"Online,Podcast","Evanston, IL",Illinois,Evanston,Politics,Y,"Bobby Burns, question@theinformedvillage.com",Founder & Business Manager,https://www.theinformedvillage.com
The Intersection Magazine,"""Medium publication, sporadic""","3116 Hamilton St, Hyattsville, MD 20782 (approximate)",Maryland,Nationwide,African-American,Y,,,
The Jackson Blazer,"""Newspaper, weekly""","P.O. Box 806 Jackson, MI 49202",Michigan,Jackson,African-American,Y,"Alan Wade, jacksonblazer@gmail.com",Publisher,https://thejacksonblazer.com/
The Jerusalem Chronicle,"""Newspaper, monthly""","555 S B B King Blvd, Memphis, TN 38101",Tennessee,Memphis,African-American Jews,Y,,,https://twitter.com/jerusalemchroni
The Lede,,N/A,Nationwide,Nationwide,Media job-seekers,Y,"Kiara Joseph, theledenewsletter@gmail.com",,
The Live Exchange,Radio,N/A,Nationwide,Nationwide,African-American,Y,"Dr. Pamela Antoinette, booking@theliveexchange.com",Host,http://www.theliveexchangeradio.com/
The Madison Times,"""Newspaper, weekly""","313 West Beltline Hwy ste 132, Madison, WI 53713",Wisconsin,Madison,African-American,Y,,,
The Metro Courier,"""Newspaper, weekly""","314 Walton Way, Augusta, GA 30901",Georgia,Augusta,African-American,Y,"Barbara Gordon, (706) 724-6556",Publisher,
The Miami Times,"""Newspaper, weekly""","900 NW 54 Street. Miami, FL 33127",Florida,Miami,African-American,Y,"Penny Dickerson, editorial@miamitimesonline.com",Managing editor,https://www.miamitimesonline.com/
The Milwaukee Community Journal,"""Newspaper, weekly""","3612 N Doctor M.L.K. Jr Dr, Milwaukee, WI 53212",Wisconsin,Milwaukee,African-American,Y,,,https://communityjournal.net/
The Milwaukee Times,"""Newspaper, weekly""","1936 N Doctor M.L.K. Jr Dr, Milwaukee, WI 53212",Wisconsin,Milwaukee,African-American,Y,,,
The Monitor,"""Newspaper, on hiatus""","1501 State St, East St Louis, IL 62205",Illinois,East St. Louis,African-American,Y,,,https://estlmonitor.com/
The Monroe Dispatch,"""Newspaper, weekly""","830 Martin Luther King Junior Drive, Monroe, LA 71203",Louisiana,Monroe,African-American,Y,monroedispatch@yahoo.com,General inbox,https://www.monroedispatchonline.com/
The New Citizens' Press,"""Newspaper, biweekly""","503 Grand River Ave, Lansing, MI 48906",Michigan,Lansing,African-American,Y,"Rina Risper, rinarisper.tncp@gmail.com",Publisher,http://www.tncp.net/
The New Orleans Agenda,Newsletter,N/A,Louisiana,"New Orleans, Gulf Coast Region",General,Y,"Vincent Sylvain, 504-232-3499, Vincent@SylvainSolutions.com",Publisher,https://www.neworleansagenda.com/
The New York Carib News,"""Newspaper, weekly""","1501 Broadway 12th floor. New York, NY 10019",New York,NYC,Caribbean,Y,,,https://www.nycaribnews.com/
The Nubian News,"""Newspaper, weekly""","25 South Westfield Ave Trenton, NJ 08618",New Jersey,Trenton,Black diaspora,Y,"Kamau Kujuchagulia, nubiannews@gmail.com",Publisher,https://thenubiannews.com/
The Numberz,Radio,"Portland, OR",Oregon,Portland,African-American,Y,info@thenumberz.fm,General inbox,https://www.thenumberz.fm/
The Oklahoma Eagle,"""Newspaper, weekly""","624 E Archer St, Tulsa, OK 74120",Oklahoma,Tulsa,African-American,Y,,,http://theoklahomaeagle.net/
The Omaha Star,"""Newspaper, weekly""","2216 N 24th St, Omaha, NE 68110",Nebraska,Omaha,African-American,Y,,,https://theomahastar.com/
The Orlando Times,"""Newspaper, weekly""","4403 Vineland Rd, Orlando, FL 32811",Florida,"Orlando, central Florida",African-American,Y,"Calvin Collins, calvincollinsjr@aol.com",Publisher,https://www.orlando-times.com/index.html
The Philadelphia Observer,"""Newspaper, weekly""","600 Third Ave, New York, New York 10016",Pennsylvania,Philadelphia,African-American,Y,,,http://philadelphiaobserver.com/
The Philadelphia Tribune,"""Newspaper, twice weekly""","520 S 16th St, Philadelphia, PA 19146",Pennsylvania,Philadelphia,African-American,Y,,,https://www.phillytrib.com/
The Plug,"""Online, daily""","3900 Crown Rd SE SW, Atlanta, GA 30304 (approximate)",Georgia,Nationwide,African-American,Y,"Sherrell Dorsey, @sherrell_dorsey",Founder/editor,https://tpinsights.com/articles/
The Prince George's Post,"""Newspaper, weekly""","15207 Marlboro Pike # B, Upper Marlboro, MD 20772",Maryland,Prince George's County,African-American,Y,"Legusta Floyd, pgpost@gmail.com",Editor,http://www.pgpost.com/
The Providence American,"""Newspaper, weekly""","PO Box 5859. Providence, RI 02903",Rhode Island,Providence,African-American,Y,,,http://theprovamnews.com/
The Real Deal,"""Newspaper, monthly""","2400 Orange Ave, Cleveland, OH 44101",Ohio,Cleveland,African-American,Y,,,http://rtandrews.blogspot.com/
The Real Deal Press,Online,"Cleveland, OH",Ohio,Northeast Ohio,African-American,Y,Richard T Andrews,Editor & Publisher,https://therealdealpress.com/
The Roanoke Tribune,"""Newspaper, weekly""","2318 Melrose Ave NW, Roanoke, VA 24017",Virginia,Roanoke,African-American,Y,,,https://theroanoketribune.org/
The San Antonio Observer,"""Newspaper, weekly""","PO Box 200226, San Antonio, Texas 78220",Texas,San Antonio,African-American,Y,,,https://saobserver.com/
The San Bernardino American News,"""Newspaper, weekly""","PO Box 837, Victorville CA 93293",California,San Bernardino/Inland Empire,African-American,Y,"Mary Martin-Harris, Mary@SB-American.com",Editor,https://sb-american.com/
The Skanner,"""Newspaper, weekly""","415 N Killingsworth St, Portland, OR 97217",Washington,Seattle,African-American,Y,,,https://www.theskanner.com/
The Skanner,"""Newspaper, weekly""","415 N Killingsworth St, Portland, OR 97217",Oregon,Portland,African-American,Y,,,https://www.theskanner.com/news/northwest
The Tennessee Tribune,"""Newspaper, weekly""","1501 Jefferson St, Nashville, TN 37208",Tennessee,Nashville,African-American,Y,,,https://www.tntribune.com/
The Triangle Tribune,"""Newspaper, weekly""","115 Market Street Ste 360-G, Durham, NC 27701",North Carolina,Durham,African-American,Y,"Gerald Johnson, publisher@thecharlottepost.com",Publisher,http://www.triangletribune.com/
The TRiiBE,"""Online, daily""","906 S. Homan Ave., Chicago IL 60624",Illinois,Chicago,African-American,Y,"Tiffany Walden, tiffany@thetriibe.com",Co-founder,https://thetriibe.com/
The Urban News,"""Newspaper, monthly"",Online","PO Box 2038, Asheville, NC 28802",North Carolina,Asheville,Multicultural,Y,"therovingreporter@theurbannews.com, 828-253-5585",,https://theurbannews.com/
The Urban Voice,"""Magazine, monthly""","PO Box 270065, Las Vegas, NV 89127",Nevada,Las Vegas,African-American,Y,"Joseph Abraham, joseph@unrelentingvoice.com",Owner,https://theurbanvoice.com/
The Villager,"""Newspaper, weekly""","4132 E 12th St, Austin, TX 78721",Texas,Austin,African-American,Y,,,http://www.theaustinvillager.com/
